id,text,intent
1,List records with score less than 486,filter_condition
2,Sort the data by country in ascending order,sort_ascending
3,Sort by quantity in descending order,sort_descending
4,Sum up the values in age,aggregate_sum
5,What is the average score?,aggregate_average
6,Number of rows in the data,count_rows
7,List all headers,show_columns
8,List records with status less than 33,filter_condition
9,Sort the data by age in ascending order,sort_ascending
10,List by status from high to low,sort_descending
11,What is the total of name?,aggregate_sum
12,Show mean of score,aggregate_average
13,Count total entries,count_rows
14,Which columns are in the dataset?,show_columns
15,Display entries where age equals 901,filter_condition
16,Order the results by name from smallest to largest,sort_ascending
17,List by status from high to low,sort_descending
18,Get the total sum for salary,aggregate_sum
19,Calculate average of name,aggregate_average
20,Number of rows in the data,count_rows
21,What fields are present?,show_columns
22,Show all rows where country is greater than 33,filter_condition
23,Arrange the table based on city lowest first,sort_ascending
24,Sort by price in descending order,sort_descending
25,Sum up the values in salary,aggregate_sum
26,What is the average city?,aggregate_average
27,Count total entries,count_rows
28,List all headers,show_columns
29,Show all rows where price is greater than 292,filter_condition
30,Arrange the table based on price lowest first,sort_ascending
31,List by gender from high to low,sort_descending
32,Get the total sum for city,aggregate_sum
33,What is the average gender?,aggregate_average
34,How many records are there?,count_rows
35,What fields are present?,show_columns
36,Display entries where status equals 64,filter_condition
37,Order the results by name from smallest to largest,sort_ascending
38,List by price from high to low,sort_descending
39,What is the total of country?,aggregate_sum
40,Calculate average of score,aggregate_average
41,How many records are there?,count_rows
42,Which columns are in the dataset?,show_columns
43,Display entries where age equals 142,filter_condition
44,Order the results by gender from smallest to largest,sort_ascending
45,Sort by name in descending order,sort_descending
46,Get the total sum for status,aggregate_sum
47,Show mean of score,aggregate_average
48,Count total entries,count_rows
49,Which columns are in the dataset?,show_columns
50,Show all rows where status is greater than 830,filter_condition
51,Arrange the table based on price lowest first,sort_ascending
52,Arrange city in reverse order,sort_descending
53,Sum up the values in status,aggregate_sum
54,What is the average country?,aggregate_average
55,Number of rows in the data,count_rows
56,Which columns are in the dataset?,show_columns
57,Display entries where price equals 591,filter_condition
58,Arrange the table based on country lowest first,sort_ascending
59,Sort by score in descending order,sort_descending
60,What is the total of gender?,aggregate_sum
61,What is the average price?,aggregate_average
62,Count total entries,count_rows
63,Which columns are in the dataset?,show_columns
64,List records with status less than 757,filter_condition
65,Order the results by country from smallest to largest,sort_ascending
66,List by status from high to low,sort_descending
67,Sum up the values in score,aggregate_sum
68,What is the average age?,aggregate_average
69,Count total entries,count_rows
70,What fields are present?,show_columns
71,Display entries where status equals 147,filter_condition
72,Arrange the table based on price lowest first,sort_ascending
73,List by country from high to low,sort_descending
74,What is the total of quantity?,aggregate_sum
75,Show mean of quantity,aggregate_average
76,How many records are there?,count_rows
77,What fields are present?,show_columns
78,Display entries where age equals 764,filter_condition
79,Order the results by score from smallest to largest,sort_ascending
80,Sort by gender in descending order,sort_descending
81,Sum up the values in country,aggregate_sum
82,Calculate average of age,aggregate_average
83,How many records are there?,count_rows
84,List all headers,show_columns
85,Show all rows where gender is greater than 431,filter_condition
86,Sort the data by status in ascending order,sort_ascending
87,List by name from high to low,sort_descending
88,What is the total of score?,aggregate_sum
89,Calculate average of status,aggregate_average
90,Number of rows in the data,count_rows
91,List all headers,show_columns
92,List records with city less than 817,filter_condition
93,Order the results by name from smallest to largest,sort_ascending
94,Sort by score in descending order,sort_descending
95,Get the total sum for name,aggregate_sum
96,Calculate average of score,aggregate_average
97,How many records are there?,count_rows
98,What fields are present?,show_columns
99,Display entries where score equals 759,filter_condition
100,Arrange the table based on status lowest first,sort_ascending
101,Sort by age in descending order,sort_descending
102,Get the total sum for score,aggregate_sum
103,What is the average price?,aggregate_average
104,How many records are there?,count_rows
105,Which columns are in the dataset?,show_columns
106,List records with salary less than 492,filter_condition
107,Order the results by country from smallest to largest,sort_ascending
108,Arrange score in reverse order,sort_descending
109,What is the total of price?,aggregate_sum
110,Show mean of city,aggregate_average
111,How many records are there?,count_rows
112,List all headers,show_columns
113,List records with status less than 821,filter_condition
114,Order the results by name from smallest to largest,sort_ascending
115,List by price from high to low,sort_descending
116,Get the total sum for price,aggregate_sum
117,What is the average city?,aggregate_average
118,How many records are there?,count_rows
119,What fields are present?,show_columns
120,Display entries where name equals 263,filter_condition
121,Arrange the table based on name lowest first,sort_ascending
122,List by name from high to low,sort_descending
123,What is the total of age?,aggregate_sum
124,Show mean of score,aggregate_average
125,How many records are there?,count_rows
126,What fields are present?,show_columns
127,Show all rows where status is greater than 751,filter_condition
128,Arrange the table based on status lowest first,sort_ascending
129,Arrange country in reverse order,sort_descending
130,Sum up the values in name,aggregate_sum
131,What is the average city?,aggregate_average
132,Number of rows in the data,count_rows
133,What fields are present?,show_columns
134,Show all rows where price is greater than 941,filter_condition
135,Order the results by name from smallest to largest,sort_ascending
136,Sort by score in descending order,sort_descending
137,Get the total sum for salary,aggregate_sum
138,Calculate average of gender,aggregate_average
139,Count total entries,count_rows
140,What fields are present?,show_columns
141,List records with salary less than 29,filter_condition
142,Sort the data by city in ascending order,sort_ascending
143,Arrange quantity in reverse order,sort_descending
144,Sum up the values in status,aggregate_sum
145,Calculate average of quantity,aggregate_average
146,Count total entries,count_rows
147,Which columns are in the dataset?,show_columns
148,List records with status less than 497,filter_condition
149,Order the results by status from smallest to largest,sort_ascending
150,List by price from high to low,sort_descending
151,Get the total sum for price,aggregate_sum
152,Calculate average of status,aggregate_average
153,Count total entries,count_rows
154,List all headers,show_columns
155,Display entries where quantity equals 378,filter_condition
156,Sort the data by name in ascending order,sort_ascending
157,List by name from high to low,sort_descending
158,Get the total sum for name,aggregate_sum
159,Show mean of city,aggregate_average
160,Number of rows in the data,count_rows
161,What fields are present?,show_columns
162,Display entries where name equals 598,filter_condition
163,Order the results by salary from smallest to largest,sort_ascending
164,List by quantity from high to low,sort_descending
165,What is the total of score?,aggregate_sum
166,Calculate average of age,aggregate_average
167,Count total entries,count_rows
168,Which columns are in the dataset?,show_columns
169,Show all rows where salary is greater than 276,filter_condition
170,Arrange the table based on price lowest first,sort_ascending
171,Arrange country in reverse order,sort_descending
172,What is the total of gender?,aggregate_sum
173,Calculate average of city,aggregate_average
174,Number of rows in the data,count_rows
175,Which columns are in the dataset?,show_columns
176,Display entries where gender equals 591,filter_condition
177,Arrange the table based on status lowest first,sort_ascending
178,Arrange quantity in reverse order,sort_descending
179,Get the total sum for status,aggregate_sum
180,Show mean of city,aggregate_average
181,How many records are there?,count_rows
182,Which columns are in the dataset?,show_columns
183,List records with price less than 593,filter_condition
184,Sort the data by salary in ascending order,sort_ascending
185,Sort by age in descending order,sort_descending
186,What is the total of gender?,aggregate_sum
187,Calculate average of score,aggregate_average
188,How many records are there?,count_rows
189,What fields are present?,show_columns
190,List records with score less than 513,filter_condition
191,Sort the data by name in ascending order,sort_ascending
192,List by price from high to low,sort_descending
193,Sum up the values in name,aggregate_sum
194,Show mean of city,aggregate_average
195,Number of rows in the data,count_rows
196,Which columns are in the dataset?,show_columns
197,Display entries where country equals 27,filter_condition
198,Sort the data by salary in ascending order,sort_ascending
199,Arrange price in reverse order,sort_descending
200,Get the total sum for gender,aggregate_sum
201,What is the average name?,aggregate_average
202,Number of rows in the data,count_rows
203,List all headers,show_columns
204,Show all rows where score is greater than 827,filter_condition
205,Order the results by salary from smallest to largest,sort_ascending
206,Arrange price in reverse order,sort_descending
207,Get the total sum for country,aggregate_sum
208,What is the average gender?,aggregate_average
209,Number of rows in the data,count_rows
210,Which columns are in the dataset?,show_columns
211,Display entries where salary equals 566,filter_condition
212,Order the results by salary from smallest to largest,sort_ascending
213,Arrange name in reverse order,sort_descending
214,Sum up the values in country,aggregate_sum
215,Show mean of country,aggregate_average
216,Count total entries,count_rows
217,List all headers,show_columns
218,Show all rows where name is greater than 234,filter_condition
219,Order the results by quantity from smallest to largest,sort_ascending
220,Sort by salary in descending order,sort_descending
221,Sum up the values in gender,aggregate_sum
222,Show mean of quantity,aggregate_average
223,Count total entries,count_rows
224,List all headers,show_columns
225,List records with salary less than 251,filter_condition
226,Order the results by city from smallest to largest,sort_ascending
227,List by country from high to low,sort_descending
228,Get the total sum for price,aggregate_sum
229,Show mean of age,aggregate_average
230,Number of rows in the data,count_rows
231,Which columns are in the dataset?,show_columns
232,List records with quantity less than 32,filter_condition
233,Sort the data by salary in ascending order,sort_ascending
234,Arrange status in reverse order,sort_descending
235,What is the total of price?,aggregate_sum
236,Show mean of age,aggregate_average
237,Number of rows in the data,count_rows
238,What fields are present?,show_columns
239,Display entries where gender equals 751,filter_condition
240,Order the results by score from smallest to largest,sort_ascending
241,Sort by name in descending order,sort_descending
242,Get the total sum for age,aggregate_sum
243,What is the average salary?,aggregate_average
244,Count total entries,count_rows
245,List all headers,show_columns
246,List records with status less than 337,filter_condition
247,Order the results by country from smallest to largest,sort_ascending
248,Sort by gender in descending order,sort_descending
249,Get the total sum for city,aggregate_sum
250,Calculate average of gender,aggregate_average
251,Count total entries,count_rows
252,What fields are present?,show_columns
253,Display entries where quantity equals 93,filter_condition
254,Arrange the table based on price lowest first,sort_ascending
255,Sort by salary in descending order,sort_descending
256,Get the total sum for price,aggregate_sum
257,Show mean of country,aggregate_average
258,How many records are there?,count_rows
259,What fields are present?,show_columns
260,Show all rows where quantity is greater than 335,filter_condition
261,Order the results by status from smallest to largest,sort_ascending
262,List by salary from high to low,sort_descending
263,Get the total sum for gender,aggregate_sum
264,Calculate average of name,aggregate_average
265,How many records are there?,count_rows
266,What fields are present?,show_columns
267,Show all rows where age is greater than 342,filter_condition
268,Sort the data by city in ascending order,sort_ascending
269,Sort by age in descending order,sort_descending
270,Sum up the values in price,aggregate_sum
271,Show mean of country,aggregate_average
272,How many records are there?,count_rows
273,What fields are present?,show_columns
274,List records with name less than 682,filter_condition
275,Arrange the table based on score lowest first,sort_ascending
276,Sort by country in descending order,sort_descending
277,Sum up the values in city,aggregate_sum
278,Calculate average of name,aggregate_average
279,Number of rows in the data,count_rows
280,What fields are present?,show_columns
281,Show all rows where price is greater than 510,filter_condition
282,Order the results by country from smallest to largest,sort_ascending
283,Sort by score in descending order,sort_descending
284,Sum up the values in salary,aggregate_sum
285,Calculate average of price,aggregate_average
286,How many records are there?,count_rows
287,What fields are present?,show_columns
288,Display entries where country equals 304,filter_condition
289,Arrange the table based on name lowest first,sort_ascending
290,List by age from high to low,sort_descending
291,Get the total sum for city,aggregate_sum
292,Show mean of status,aggregate_average
293,Count total entries,count_rows
294,List all headers,show_columns
295,Display entries where name equals 264,filter_condition
296,Arrange the table based on age lowest first,sort_ascending
297,Arrange status in reverse order,sort_descending
298,Get the total sum for gender,aggregate_sum
299,Show mean of age,aggregate_average
300,Number of rows in the data,count_rows
301,What fields are present?,show_columns
302,Display entries where name equals 170,filter_condition
303,Arrange the table based on name lowest first,sort_ascending
304,Sort by city in descending order,sort_descending
305,Get the total sum for city,aggregate_sum
306,What is the average quantity?,aggregate_average
307,How many records are there?,count_rows
308,List all headers,show_columns
309,List records with quantity less than 887,filter_condition
310,Arrange the table based on age lowest first,sort_ascending
311,Sort by gender in descending order,sort_descending
312,Sum up the values in country,aggregate_sum
313,Show mean of name,aggregate_average
314,Count total entries,count_rows
315,What fields are present?,show_columns
316,Show all rows where country is greater than 404,filter_condition
317,Sort the data by price in ascending order,sort_ascending
318,Arrange city in reverse order,sort_descending
319,Get the total sum for city,aggregate_sum
320,What is the average price?,aggregate_average
321,Count total entries,count_rows
322,Which columns are in the dataset?,show_columns
323,Display entries where status equals 219,filter_condition
324,Arrange the table based on name lowest first,sort_ascending
325,List by gender from high to low,sort_descending
326,What is the total of country?,aggregate_sum
327,Show mean of name,aggregate_average
328,Number of rows in the data,count_rows
329,Which columns are in the dataset?,show_columns
330,List records with gender less than 104,filter_condition
331,Arrange the table based on status lowest first,sort_ascending
332,Arrange age in reverse order,sort_descending
333,Sum up the values in name,aggregate_sum
334,Show mean of city,aggregate_average
335,Count total entries,count_rows
336,What fields are present?,show_columns
337,Show all rows where city is greater than 478,filter_condition
338,Arrange the table based on city lowest first,sort_ascending
339,Sort by salary in descending order,sort_descending
340,What is the total of status?,aggregate_sum
341,What is the average price?,aggregate_average
342,How many records are there?,count_rows
343,What fields are present?,show_columns
344,List records with name less than 830,filter_condition
345,Arrange the table based on age lowest first,sort_ascending
346,List by country from high to low,sort_descending
347,Get the total sum for salary,aggregate_sum
348,Show mean of score,aggregate_average
349,Number of rows in the data,count_rows
350,What fields are present?,show_columns
351,List records with status less than 291,filter_condition
352,Arrange the table based on gender lowest first,sort_ascending
